@relation pacman-weka.filters.unsupervised.attribute.Remove-R3-14-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute pos_x numeric
@attribute pos_y numeric
@attribute distance_to_ghost1 numeric
@attribute distance_to_ghost2 numeric
@attribute distance_to_ghost3 numeric
@attribute distance_to_ghost4 numeric
@attribute legal_north {0,1}
@attribute legal_south {0,1}
@attribute legal_east {0,1}
@attribute legal_west {0,1}
@attribute chosen_move {1,2,3,4}

@data
0.588235,0.875,0.666667,0,0.227273,0.26087,1,1,0,1,1
0.764706,0.625,0,0,0,0.217391,1,1,1,1,1
0.764706,0.625,0,0,0.181818,0,1,1,1,1,1
0.411765,0.125,0,0,0,0.521739,1,1,1,1,1
0,1,0.5,0.636364,0.409091,0.826087,0,1,1,0,1
0.294118,1,0.541667,0,0.136364,0.652174,0,1,1,1,1
0.411765,0.125,0,0,0,0.565217,1,1,1,1,1
0.294118,0.75,0.375,0.363636,0.272727,0.608696,1,1,1,1,1
0.470588,0.25,0.208333,0,0,0,1,1,1,1,1
0.117647,0.625,0.458333,0.272727,0.545455,0.782609,1,1,1,1,1
0.235294,1,0.583333,0,0.136364,0.608696,0,1,1,1,1
0,0.75,0.541667,0.636364,0.5,0.826087,1,1,1,0,1
0.470588,0.5,0,0,0.181818,0,1,1,1,1,1
0.411765,0.5,0,0,0.227273,0.434783,1,1,1,1,1
0.705882,0.25,0.416667,0,0,0,0,1,1,1,1
0.352941,0.625,0,0,0.363636,0.608696,1,1,1,1,1
0.764706,0.375,0,0,0.590909,0,1,1,0,0,1
0.529412,0.5,0.416667,0,0,0,1,1,0,1,1
0.941176,0.625,0.875,0,0,0,1,1,1,1,1
0.764706,0.25,0.666667,0,0,0.217391,1,1,1,1,1
0.529412,0.375,0,0,0.454545,0,1,1,0,1,1
0.588235,1,0.5,0,0,0.304348,0,1,1,1,1
0.705882,0.75,0,0,0,0.130435,0,1,1,1,1
0.352941,0.25,0.166667,0,0,0.565217,0,1,1,1,1
0.411765,0.625,0,0,0.318182,0.608696,1,1,1,1,1
0.235294,0.875,0.541667,0,0.272727,0.73913,1,1,1,0,1
0.705882,0.25,0.583333,0,0,0,0,1,1,1,1
0,1,0.583333,0.636364,0.318182,0.826087,0,1,1,0,1
0.352941,0.75,0,0,0.318182,0.695652,0,1,1,1,1
0.058824,0.625,0.5,0.363636,0.545455,0.913043,1,1,1,1,1
0.352941,0.75,0.375,0.363636,0.272727,0.521739,0,1,1,1,1
0.058824,0.25,0.166667,0,0,0.695652,0,1,1,1,1
0.235294,1,0.666667,0,0.181818,0.695652,0,1,1,1,1
0.647059,0.75,0.625,0,0,0,0,1,1,1,1
0.529412,0.125,0,0,0,0.26087,1,1,1,1,1
0.235294,1,0.583333,0,0.136364,0.608696,0,1,1,1,1
0.294118,0.75,0.291667,0.454545,0,0.347826,1,1,1,1,1
0.470588,0.25,0,0,0.318182,0,1,1,1,1,1
0.294118,1,0.458333,0,0,0.521739,0,1,1,1,1
0.882353,0.625,0.75,0,0,0,1,1,1,1,1
0.117647,0.75,0.5,0.545455,0.5,0.695652,0,1,1,1,1
0,0.25,0,0,0,0.869565,1,1,1,0,1
0.235294,0.875,0.625,0.545455,0.227273,0.782609,1,1,1,0,1
0.235294,1,0.583333,0,0.181818,0.652174,0,1,1,1,1
0.294118,0.875,0.625,0,0.318182,0.652174,1,1,0,1,1
0.294118,0.75,0.5,0.363636,0.363636,0.434783,1,1,1,1,1
0.176471,0.625,0.458333,0.363636,0.5,0.782609,1,1,1,1,1
0.529412,0.875,0,0,0,0.478261,1,1,1,0,1
0.294118,0.125,0.208333,0,0.681818,0,1,1,1,1,1
0.705882,0.25,0,0,0.5,0,0,1,1,1,1
0.235294,0.875,0.5,0.363636,0.227273,0.695652,1,1,1,0,1
0.058824,0.125,0.166667,0,0,0,1,1,1,1,1
0.411765,0.5,0,0,0.454545,0.608696,1,1,1,1,1
0.176471,0.25,0,0,0,0.73913,0,1,1,1,1
0.294118,0.125,0.208333,0,0.681818,0,1,1,1,1,1
0.235294,0.875,0.541667,0.363636,0.363636,0.73913,1,1,1,0,1
0.470588,0.75,0,0,0,0.26087,0,1,1,1,1
0,1,0.541667,1,0.318182,0.913043,0,1,1,0,1
0.411765,0.25,0,0,0,0.130435,1,1,1,1,1
0.235294,0.875,0.5,0,0.409091,0.565217,1,1,1,0,1
0.235294,1,0.541667,0,0.181818,0.565217,0,1,1,1,1
0.294118,1,0.583333,0.454545,0,0.73913,0,1,1,1,1
0.235294,1,0.5,0.454545,0,0.695652,0,1,1,1,1
0.470588,0.125,0,0,0,0.521739,1,1,1,1,1
0.882353,0.625,0,0,0,0.173913,1,1,1,1,1
0.235294,1,0.541667,0,0.363636,0.73913,0,1,1,1,1
0.529412,0.25,0,0,0,0.347826,1,1,1,1,1
0.117647,0.75,0.541667,0.545455,0.454545,0.695652,0,1,1,1,1
0.588235,0.25,0,0,0,0.478261,0,1,1,1,1
0.764706,0.375,0,0,0,0.26087,1,1,0,0,1
0.588235,0.125,0.291667,0,0,0,1,1,0,1,1
1,1,0,0,0.772727,0,0,1,0,1,1
0,1,0.5,1,0.363636,0.869565,0,1,1,0,1
0.235294,1,0.625,0.363636,0.409091,0.913043,0,1,1,1,1
0,1,0.5,0.636364,0.454545,0.869565,0,1,1,0,1
0,1,0.541667,0.636364,0.318182,0.869565,0,1,1,0,1
0.294118,0.75,0.5,0.363636,0.272727,0.695652,1,1,1,1,1
0.588235,0.25,0.333333,0,0,0,0,1,1,1,1
0.941176,0.25,0.541667,0,0,0,0,1,1,1,1
0.529412,1,0,0,0.227273,0.391304,0,1,1,1,1
0.352941,0.25,0,0,0,0.391304,0,1,1,1,1
0.411765,0.25,0,0,0,0.478261,1,1,1,1,1
0.294118,0.75,0.5,0,0.318182,0.565217,1,1,1,1,1
0.294118,1,0.666667,0,0.136364,0.73913,0,1,1,1,1
0.764706,0.125,0,0,0,0.217391,1,1,1,1,1
0.235294,0.875,0.416667,0,0.227273,0.652174,1,1,1,0,1
0.235294,0.25,0.291667,0,0,0,0,1,1,1,1
0.235294,0.875,0.541667,0.545455,0.181818,0.695652,1,1,1,0,1
0.764706,0.375,0,0,0,0.173913,1,1,0,0,1
0.235294,0.875,0.583333,0.363636,0.318182,0.652174,1,1,1,0,1
0.764706,0.5,0,0,0,0.26087,1,1,1,1,1
0.411765,0.25,0,0,0,0.478261,1,1,1,1,1
0.294118,0.75,0.333333,0,0.272727,0.608696,1,1,1,1,1
0.647059,0.625,0.666667,0,0,0.173913,1,1,1,0,1
0.176471,0.75,0,0,0.227273,0,0,1,1,1,1
0.411765,0.5,0,0,0.409091,0.565217,1,1,1,1,1
0.352941,0.125,0.125,0,0,0,1,1,1,1,1
0.470588,0.5,0.166667,0,0,0.391304,1,1,1,1,1
0.470588,0.25,0.416667,0,0,0,1,1,1,1,1
0.764706,0.5,0,0,0,0.217391,1,1,1,1,1
0.411765,0.5,0,0,0,0.608696,1,1,1,1,1
0.823529,0.25,0,0,0.818182,0,0,1,1,1,1
0.235294,0.25,0,0,0,0.608696,0,1,1,1,1
0.588235,0.875,0.666667,0,0.227273,0.26087,1,1,0,1,1
0.294118,0.875,0.5,0,0.181818,0.826087,1,1,0,1,1
0.235294,1,0.583333,0,0.272727,0.826087,0,1,1,1,1
0.058824,0.625,0.458333,0.454545,0.590909,0.652174,1,1,1,1,1
0.294118,1,0.5,0,0.181818,0.826087,0,1,1,1,1
0.235294,0.875,0.625,0.636364,0.136364,0.73913,1,1,1,0,1
0.470588,0.625,0,0,0.363636,0.478261,1,1,1,1,1
0.235294,0.75,0.166667,0,0,0.652174,1,1,1,1,1
0.411765,0.375,0,0,0,0.521739,1,1,1,0,1
0.235294,0.875,0.541667,0.727273,0,0.652174,1,1,1,0,1
0.470588,0.5,0.125,0,0,0,1,1,1,1,1
0.470588,0.25,0,0,0,0.217391,1,1,1,1,1
0,1,0.583333,0.636364,0.409091,0.913043,0,1,1,0,1
0.470588,0.375,0,0,0.454545,0.565217,1,1,1,1,1
0.235294,1,0.583333,0.272727,0.363636,0.73913,0,1,1,1,1
0.411765,0.125,0.333333,0,0,0,1,1,1,1,1
0.294118,1,0,0,0,0.652174,0,1,1,1,1
0.117647,0.25,0.208333,0,0,0.652174,0,1,1,1,1
0.529412,0.375,0,0,0.181818,0,1,1,0,1,1
0.470588,0.375,0,0,0.454545,0.565217,1,1,1,1,1
0.588235,0.25,0,0,0,0.434783,0,1,1,1,1
0.235294,0.25,0,0,0,0.565217,0,1,1,1,1
0.352941,0.125,0.125,0,0,0,1,1,1,1,1
0.764706,0.5,0,0,0,0.304348,1,1,1,1,1
0.647059,0.75,0.625,0,0,0.304348,0,1,1,1,1
0.176471,0.125,0,0,0,0.695652,1,1,1,1,1
0,1,0.583333,0.636364,0.409091,0.869565,0,1,1,0,1
0.352941,0.125,0.25,0,0,0,1,1,1,1,1
0.529412,0.75,0,0,0,0.26087,1,1,1,1,1
0.764706,0.375,0,0,0,0.173913,1,1,0,0,1
0.470588,0.75,0.583333,0,0.227273,0.434783,0,1,1,1,1
0.117647,0.625,0.541667,0.636364,0.545455,0.73913,1,1,1,1,1
0,1,0.625,1,0.409091,0.869565,0,1,1,0,1
0.470588,0.375,0.166667,0,0,0.434783,1,1,1,1,1
0.411765,0.125,0,0,0.590909,0.478261,1,1,1,1,1
0.352941,0.25,0.208333,0,0,0.434783,0,1,1,1,1
0.529412,1,0,0,0.227273,0.391304,0,1,1,1,1
0,1,0.541667,0.636364,0.363636,0.826087,0,1,1,0,1
0.764706,0.75,0,0,0.318182,0,1,1,1,1,1
0.235294,0.25,0.208333,0,0,0,0,1,1,1,1
0.470588,0.25,0.208333,0,0,0,1,1,1,1,1
0,0.125,0,0,0,0.869565,1,1,1,0,1
0.529412,0.75,0,0,0,0.478261,1,1,1,1,1
0.235294,1,0.625,0.272727,0,0.826087,0,1,1,1,1
0.294118,0.625,0.291667,0.454545,0,0.434783,1,1,1,1,1
0.470588,0.75,0.583333,0,0.227273,0.434783,0,1,1,1,1
0.294118,0.125,0.208333,0,0.681818,0,1,1,1,1,1
0.470588,0.25,0.208333,0,0,0,1,1,1,1,1
0.764706,1,0,0,0,0.304348,0,1,1,1,1
0.058824,0.75,0.5,0.636364,0.454545,0.652174,0,1,1,1,1
0.352941,0.125,0,0,0,0.347826,1,1,1,1,1
0.235294,0.625,0.416667,0.363636,0.409091,0.73913,1,1,1,1,1
0.176471,0.25,0,0,0,0.826087,0,1,1,1,1
0.117647,0.75,0.5,0.272727,0.363636,0.73913,0,1,1,1,1
0.647059,0.75,0.75,0,0,0.173913,0,1,1,1,1
0.705882,0.75,0.5,0,0,0.173913,0,1,1,1,1
0.294118,1,0.583333,0,0.318182,0.782609,0,1,1,1,1
1,0.5,0,0,0,0.130435,1,1,0,1,1
0.352941,0.625,0.291667,0.363636,0.409091,0.521739,1,1,1,1,1
0.588235,0.875,0.333333,0,0.181818,0,1,1,0,1,1
0,1,0.541667,0.727273,0.5,0.869565,0,1,1,0,1
0.647059,0.625,0.5,0,0,0.173913,1,1,1,0,1
0.235294,0.875,0.583333,0,0,0.695652,1,1,1,0,1
0.529412,1,0.625,0,0.181818,0.217391,0,1,1,1,1
0,1,0.541667,0.636364,0.409091,0.913043,0,1,1,0,1
0.764706,0.625,0,0,0.590909,0,1,1,1,1,1
0.411765,0.25,0.25,0,0,0,1,1,1,1,1
0.235294,0.875,0.541667,0.727273,0,0.652174,1,1,1,0,1
0.294118,0.25,0.208333,0,0,0,0,1,1,1,1
0.529412,0.75,0,0,0.227273,0.478261,1,1,1,1,1
0.588235,0.25,0,0,0,0.26087,0,1,1,1,1
0.411765,0.75,0,0,0.181818,0.521739,0,1,1,1,1
0.294118,0.875,0.375,0,0.227273,0.608696,1,1,0,1,1
0.411765,0.375,0,0,0,0.608696,1,1,1,0,1
0.529412,0.125,0,0,0.454545,0.391304,1,1,1,1,1
0.529412,0.75,0,0,0,0.26087,1,1,1,1,1
0.058824,0.125,0,0,0,0.478261,1,1,1,1,1
0.647059,0.625,0.625,0,0,0.434783,1,1,1,0,1
0.823529,0.25,0,0,0,0.26087,0,1,1,1,1
0,1,0.541667,0.727273,0.454545,0.826087,0,1,1,0,1
0.235294,0.875,0.666667,0,0.272727,0.695652,1,1,1,0,1
0.235294,0.875,0.625,0.636364,0.136364,0.73913,1,1,1,0,1
0.588235,0.25,0.458333,0,0,0,0,1,1,1,1
0.529412,0.875,0.666667,0,0,0.347826,1,1,1,0,1
0.588235,0.25,0,0,0,0.26087,0,1,1,1,1
0.529412,0.875,0,0,0.181818,0,1,1,1,0,1
0.235294,1,0.583333,0,0.409091,0.73913,0,1,1,1,1
0.823529,0.75,0.666667,0,0,0,0,1,1,1,1
0.764706,0.5,0,0,0.318182,0,1,1,1,1,1
0.235294,1,0.583333,0.545455,0.181818,0.521739,0,1,1,1,1
0.529412,0.75,0,0,0,0.304348,1,1,1,1,1
0.470588,0.5,0,0,0,0.434783,1,1,1,1,1
0.705882,0.625,0,0,0,0.173913,1,1,1,1,1
0.529412,0.625,0,0,0,0.304348,1,1,0,1,1
0.764706,0.625,0,0,0,0.217391,1,1,1,1,1
0.764706,0.625,0.708333,0,0,0.173913,1,1,1,1,1
0.235294,0.875,0.583333,0,0.272727,0.695652,1,1,1,0,1
0,0.5,0,0,0.363636,0,1,1,1,0,1
0.470588,0.125,0.208333,0,0,0,1,1,1,1,1
0.882353,0.25,0,0,0,0.130435,0,1,1,1,1
0.117647,0.625,0.458333,0.272727,0.545455,0.782609,1,1,1,1,1
0.411765,0.75,0,0,0,0.478261,0,1,1,1,1
0.529412,0.125,0.291667,0,0,0,1,1,1,1,1
0.529412,0.875,0.5,0,0.181818,0.347826,1,1,1,0,1
0.411765,0.5,0,0,0,0.608696,1,1,1,1,1
0.058824,0.75,0.375,0.454545,0.636364,0.913043,0,1,1,1,1
0.705882,0.25,0.5,0,0,0,0,1,1,1,1
0.176471,0.75,0.5,0.363636,0.409091,0.73913,0,1,1,1,1
0.588235,0.25,0.208333,0,0,0,0,1,1,1,1
0.470588,0.75,0.416667,0,0,0.26087,0,1,1,1,1
0.235294,0.875,0.458333,0.363636,0.409091,0.73913,1,1,1,0,1
0.235294,1,0.625,0,0.181818,0.826087,0,1,1,1,1
0.705882,0.125,0,0,0,0.173913,1,1,1,0,1
0.529412,1,0.625,0,0.136364,0.695652,0,1,1,1,1
0.294118,0.75,0.291667,0,0.272727,0.608696,1,1,1,1,1
0.235294,0.25,0.291667,0,0,0,0,1,1,1,1
0.235294,0.875,0.583333,0,0.454545,0.521739,1,1,1,0,1
0,1,0.541667,0.727273,0.363636,0.869565,0,1,1,0,1
0.470588,0.375,0,0,0,0.391304,1,1,1,1,1
0.235294,1,0.583333,0,0.409091,0.73913,0,1,1,1,1
0.294118,0.875,0.375,0,0.227273,0.608696,1,1,0,1,1
0.294118,0.875,0.583333,0,0.409091,0.434783,1,1,0,1,1
0.235294,0.875,0.583333,0.363636,0.318182,0.652174,1,1,1,0,1
0.470588,0.75,0.375,0,0.272727,0.434783,0,1,1,1,1
0.823529,0.125,0.708333,0,0,0,1,1,1,1,1
0.470588,0.75,0,0,0.272727,0.565217,0,1,1,1,1
0.470588,0.625,0.5,0.363636,0.318182,0.391304,1,1,1,1,1
0.235294,0.875,0.583333,0.363636,0,0.608696,1,1,1,0,1
0.588235,1,0.416667,0,0,0,0,1,1,1,1
0.411765,0.625,0,0,0.409091,0.434783,1,1,1,1,1
0.235294,0.875,0.583333,0.363636,0,0.608696,1,1,1,0,1
0.235294,0.75,0.458333,0,0.181818,0.73913,1,1,1,1,1
0.764706,0.75,0.416667,0,0,0.217391,1,1,1,1,1
0.529412,1,0.625,0,0.181818,0.217391,0,1,1,1,1
0.529412,0.5,0,0,0.272727,0,1,1,0,1,1
0.058824,0.625,0.458333,0.454545,0.590909,0.652174,1,1,1,1,1
0.764706,0.75,0,0,0,0.173913,1,1,1,1,1
0.529412,1,0.625,0,0.181818,0.217391,0,1,1,1,1
0.529412,1,0.583333,0,0.181818,0.478261,0,1,1,1,1
0.529412,0.625,0,0,0,0.434783,1,1,0,1,1
0.529412,0.625,0,0,0,0.26087,1,1,0,1,1
0.764706,0.125,0.458333,0,0,0.26087,1,1,1,1,1
0.411765,0.625,0,0,0,0.521739,1,1,1,1,1
0.235294,0.75,0.166667,0,0,0.652174,1,1,1,1,1
0,1,0.583333,0.636364,0.363636,0.913043,0,1,1,0,1
0.941176,0.25,0.541667,0,0,0,0,1,1,1,1
0.294118,0.25,0.291667,0,0,0,0,1,1,1,1
0.529412,1,0.166667,0,0,0.652174,0,1,1,1,1
0.294118,0.75,0.5,0.363636,0.363636,0.434783,1,1,1,1,1
0.529412,0.25,0,0,0.409091,0.391304,1,1,1,1,1
0.705882,0.25,0,0,0,0.347826,0,1,1,1,1
0.529412,0.375,0,0,0.181818,0,1,1,0,1,1
0.470588,0.375,0.125,0,0,0.521739,1,1,1,1,1
0,1,0.625,0.818182,0.409091,0.869565,0,1,1,0,1
0.411765,0.5,0,0,0,0.478261,1,1,1,1,1
0.529412,0.125,0,0,0,0.565217,1,1,1,1,1
0.235294,0.875,0.541667,0.363636,0.136364,0.73913,1,1,1,0,1
1,0.375,0,0,0.954545,0.130435,1,1,0,0,1
0.529412,0.75,0,0,0,0.347826,1,1,1,1,1
0.235294,0.875,0.583333,0.363636,0.318182,0.652174,1,1,1,0,1
0.235294,0.125,0.25,0,0,0.652174,1,1,1,1,1
0.529412,0.875,0,0,0,0.608696,1,1,1,0,1
0.294118,0.875,0.583333,0,0.227273,0.695652,1,1,0,1,1
0.529412,0.75,0,0,0.181818,0,1,1,1,1,1
0.882353,0.125,0,0,0.909091,0.217391,1,1,1,1,1
0.235294,0.875,0.541667,0,0.272727,0.782609,1,1,1,0,1
0.235294,0.75,0.166667,0,0,0.652174,1,1,1,1,1
0.882353,0.25,0,0,0.909091,0.217391,0,1,1,1,1
0.470588,0.25,0.208333,0,0,0,1,1,1,1,1
0.470588,0.75,0.458333,0,0,0.608696,0,1,1,1,1
0.470588,0.5,0,0,0.181818,0,1,1,1,1,1
0.352941,0.625,0.208333,0,0,0.695652,1,1,1,1,1
0.352941,0.25,0,0,0,0.695652,0,1,1,1,1
0.294118,0.625,0.458333,0,0.272727,0.565217,1,1,1,1,1
0.294118,1,0.583333,0,0,0.478261,0,1,1,1,1
0.529412,1,0,0,0.181818,0.391304,0,1,1,1,1
0.117647,0.75,0.541667,0.545455,0.409091,0.826087,0,1,1,1,1
0.411765,0.25,0,0,0.454545,0.391304,1,1,1,1,1
0.235294,1,0.583333,0,0.181818,0.695652,0,1,1,1,1
0,1,0.625,1,0.363636,0.869565,0,1,1,0,1
0.235294,1,0.708333,0.727273,0.227273,0.826087,0,1,1,1,1
0.529412,0.25,0.291667,0,0,0.130435,1,1,1,1,1
0.235294,0.875,0.5,0,0.227273,0.652174,1,1,1,0,1
0.352941,0.75,0.416667,0,0.363636,0.478261,0,1,1,1,1
0.235294,1,0.625,0,0.136364,0.782609,0,1,1,1,1
0.411765,0.625,0.333333,0,0.363636,0.521739,1,1,1,1,1
0,1,0.5,0.818182,0.454545,0.913043,0,1,1,0,1
0.176471,0.625,0.458333,0.363636,0.5,0.782609,1,1,1,1,1
0.235294,1,0.5,0,0.272727,0.565217,0,1,1,1,1
0.294118,0.125,0.208333,0,0,0.434783,1,1,1,1,1
0.764706,0.125,0.541667,0,0,0.26087,1,1,1,1,1
0.235294,0.875,0.625,0,0.181818,0.869565,1,1,1,0,1
0,0.25,0,0,0,0.869565,1,1,1,0,1
0,0.5,0,0,0.363636,0,1,1,1,0,1
0.823529,0.25,0.583333,0,0,0,0,1,1,1,1
0.235294,0.25,0.291667,0,0,0,0,1,1,1,1
0.294118,1,0.541667,0,0,0.478261,0,1,1,1,1
0.529412,1,0.166667,0,0,0.652174,0,1,1,1,1
0.647059,0.75,0.75,0,0,0.173913,0,1,1,1,1
0.529412,0.75,0,0,0,0.217391,1,1,1,1,1
0.470588,0.125,0,0,0.545455,0.434783,1,1,1,1,1
0.529412,0.875,0.208333,0,0,0.565217,1,1,1,0,1
1,1,0,0,0.772727,0,0,1,0,1,1
0.235294,0.875,0.5,0,0.227273,0.565217,1,1,1,0,1
0.294118,0.75,0.375,0.454545,0.318182,0.434783,1,1,1,1,1
0.294118,0.625,0.458333,0,0.272727,0.565217,1,1,1,1,1
0.529412,0.875,0,0,0,0.304348,1,1,1,0,1
0.764706,0.5,0,0,0.590909,0,1,1,1,1,1
0.235294,0.875,0.583333,0,0.454545,0.73913,1,1,1,0,1
0.705882,0.25,0.416667,0,0,0,0,1,1,1,1
0,0.75,0,0,0,0.695652,1,1,1,0,1
0.411765,0.25,0,0,0,0.608696,1,1,1,1,1
0.294118,0.25,0,0,0,0.434783,0,1,1,1,1
0.470588,0.5,0,0,0,0.434783,1,1,1,1,1
0.235294,1,0.666667,0,0.181818,0.695652,0,1,1,1,1
0.294118,0.75,0.291667,0,0.318182,0.608696,1,1,1,1,1
0.235294,0.875,0.458333,0,0.318182,0.695652,1,1,1,0,1
0.352941,0.125,0.166667,0,0,0.521739,1,1,1,1,1
0.176471,0.625,0.5,0.363636,0.409091,0.652174,1,1,1,1,1
0.823529,0.25,0,0,0,0.217391,0,1,1,1,1
0.470588,0.5,0,0,0,0.391304,1,1,1,1,1
0.529412,0.625,0,0,0,0.217391,1,1,0,1,1
0.588235,0.25,0.208333,0,0,0,0,1,1,1,1
0.705882,0.25,0.583333,0,0,0,0,1,1,1,1
0.705882,0.25,0.541667,0,0,0,0,1,1,1,1
0.117647,0.75,0.5,0.454545,0.318182,0.782609,0,1,1,1,1
0.470588,0.25,0,0,0.545455,0.521739,1,1,1,1,1
0.058824,0.25,0,0,0,0.478261,0,1,1,1,1
0.058824,0.625,0.5,0.363636,0.545455,0.913043,1,1,1,1,1
0,1,0.625,0.636364,0.363636,0.913043,0,1,1,0,1
0.117647,0.75,0.583333,0.454545,0.545455,0.565217,0,1,1,1,1
0.470588,0.25,0.416667,0,0,0,1,1,1,1,1
0.705882,0.25,0.541667,0,0,0,0,1,1,1,1
0.470588,0.75,0.583333,0,0,0.434783,0,1,1,1,1
0,1,0.583333,0.636364,0.409091,0.913043,0,1,1,0,1
0.235294,1,0.583333,0,0.227273,0.956522,0,1,1,1,1
0.411765,0.25,0,0,0,0.391304,1,1,1,1,1
0.117647,0.75,0.5,0.454545,0.363636,0.826087,0,1,1,1,1
0.470588,0.25,0.25,0,0,0,1,1,1,1,1
0.352941,0.25,0.208333,0,0,0,0,1,1,1,1
0.411765,0.25,0.125,0,0,0.173913,1,1,1,1,1
0.411765,0.625,0.458333,0.363636,0,0.434783,1,1,1,1,1
0.764706,1,0,0,0,0.304348,0,1,1,1,1
0.705882,0.25,0,0,0.272727,0,0,1,1,1,1
0.470588,0.75,0.583333,0,0.227273,0.434783,0,1,1,1,1
0.529412,0.875,0.458333,0,0,0.608696,1,1,1,0,1
0.294118,1,0.375,0,0.181818,0.608696,0,1,1,1,1
0.529412,0.75,0,0,0,0.347826,1,1,1,1,1
0.294118,1,0,0,0.136364,0.826087,0,1,1,1,1
0.176471,0.125,0,0,0,0.695652,1,1,1,1,1
0.294118,1,0.583333,0,0.454545,0.652174,0,1,1,1,1
0.235294,1,0.5,0,0.181818,0.73913,0,1,1,1,1
0.235294,1,0.583333,0,0.272727,0.695652,0,1,1,1,1
0.176471,0.125,0.25,0,0,0,1,1,1,1,1
0.764706,1,0.583333,0,0,0.173913,0,1,1,1,1
0.764706,0.375,0,0,0.181818,0,1,1,0,0,1
0.058824,0.25,0.166667,0,0,0.695652,0,1,1,1,1
0.058824,0.25,0.166667,0,0,0.869565,0,1,1,1,1
0.176471,0.75,0.458333,0,0.454545,0.608696,0,1,1,1,1
0.294118,0.25,0.166667,0,0,0,0,1,1,1,1
0.352941,0.125,0.333333,0,0,0.434783,1,1,1,1,1
0.529412,0.875,0.5,0,0.227273,0.304348,1,1,1,0,1
0.588235,1,0.416667,0,0,0,0,1,1,1,1
0.529412,0.875,0,0,0,0.478261,1,1,1,0,1
0.470588,0.125,0,0,0,0.521739,1,1,1,1,1
0.647059,0.625,0.666667,0,0,0.173913,1,1,1,0,1
0.529412,0.875,0,0,0.454545,0,1,1,1,0,1
0.294118,0.25,0.166667,0,0,0,0,1,1,1,1
0.764706,0.375,0,0,0.181818,0,1,1,0,0,1
0.529412,0.875,0,0,0.181818,0.347826,1,1,1,0,1
0.235294,0.875,0.583333,0,0.272727,0.695652,1,1,1,0,1
0.588235,0.25,0,0,0,0.217391,0,1,1,1,1
0.470588,0.5,0.416667,0,0,0,1,1,1,1,1
0.411765,0.75,0.375,0,0.272727,0.434783,0,1,1,1,1
0.470588,0.125,0,0,0,0.521739,1,1,1,1,1
0.941176,0.25,0.541667,0,0,0,0,1,1,1,1
0.176471,0.75,0.541667,0.636364,0.409091,0.652174,0,1,1,1,1
0.529412,0.875,0,0,0.181818,0,1,1,1,0,1
0.294118,0.875,0.5,0,0.181818,0.608696,1,1,0,1,1
0.235294,1,0.5,0,0.181818,0.782609,0,1,1,1,1
0.470588,0.5,0,0,0,0.391304,1,1,1,1,1
0.294118,0.125,0.25,0,0,0,1,1,1,1,1
0.529412,1,0,0,0,0.304348,0,1,1,1,1
0.294118,0.125,0.208333,0,0,0.73913,1,1,1,1,1
0.411765,0.625,0,0,0.318182,0.652174,1,1,1,1,1
0.588235,0.25,0,0,0,0.304348,0,1,1,1,1
0.529412,0.25,0,0,0.409091,0.391304,1,1,1,1,1
0.764706,0.5,0,0,0.272727,0,1,1,1,1,1
0.235294,0.25,0,0,0,0.695652,0,1,1,1,1
0.411765,0.5,0,0,0.409091,0.565217,1,1,1,1,1
0.588235,0.25,0.375,0,0,0,0,1,1,1,1
0.529412,1,0.583333,0,0.181818,0.478261,0,1,1,1,1
0.235294,0.75,0.541667,0.454545,0,0.652174,1,1,1,1,1
0.294118,0.25,0.166667,0,0,0.478261,0,1,1,1,1
0.235294,0.875,0.458333,0.272727,0.363636,0.826087,1,1,1,0,1
0.764706,0.375,0,0,0,0.347826,1,1,0,0,1
0,1,0.5,1,0.363636,0.869565,0,1,1,0,1
0.588235,0.875,0.333333,0,0.181818,0,1,1,0,1,1
0.235294,0.875,0.541667,0,0.272727,0.782609,1,1,1,0,1
0,1,0.541667,1,0.318182,0.913043,0,1,1,0,1
0.294118,0.75,0,0,0,0.478261,1,1,1,1,1
0,0.625,0.5,0.545455,0.545455,0.826087,1,1,1,0,1
0.235294,0.875,0.583333,0,0,0.73913,1,1,1,0,1
0.294118,0.75,0.291667,0.454545,0,0.434783,1,1,1,1,1
0.294118,0.875,0.5,0,0.136364,0.565217,1,1,0,1,1
0.529412,0.5,0,0,0,0.304348,1,1,0,1,1
0.470588,0.5,0.166667,0,0,0.391304,1,1,1,1,1
0.529412,0.125,0.416667,0,0,0.173913,1,1,1,1,1
0.235294,0.25,0,0,0,0.695652,0,1,1,1,1
0.647059,0.625,0.791667,0,0,0.173913,1,1,1,0,1
0.294118,0.75,0.458333,0,0.227273,0.434783,1,1,1,1,1
0.470588,0.5,0.416667,0,0,0,1,1,1,1,1
0.470588,0.375,0,0,0,0.478261,1,1,1,1,1
0.235294,1,0.541667,0.363636,0.272727,0.521739,0,1,1,1,1
0.882353,0.25,0.5,0,0,0,0,1,1,1,1
0.529412,0.25,0.25,0,0,0,1,1,1,1,1
0,1,0.5,0.727273,0.454545,0.869565,0,1,1,0,1
0.411765,0.25,0,0,0,0.608696,1,1,1,1,1
